trial_global_id,condition,stimulus_id,stimulus_text,n_siblings,n_condition,corr_loo,rms_resid,max_abs_z,p99_abs_z,frac_abs_gt3,frac_abs_gt5,spatial_std,frac_out_sib_clim,rz_corr_loo,rz_rms_resid,rz_max_abs_z,rz_p99_abs_z,rz_frac_abs_gt3,rz_frac_abs_gt5,rz_spatial_std,rz_frac_out_sib_clim,rank_corr_low,rank_rms_high,pct_corr_low,pct_rms_high,flag,why
3002,condAN1,black_point_0.1,cond1: black point 0.1 diameter,27,28,0.2345991242187523,0.6090838773915364,5.0135040283203125,1.9775355291366579,0.0006,0.0001,0.5934145600540467,0.0,-0.128519018482126,-0.9875722547172695,-0.6083123705278062,-1.2826290935225342,-0.7494341771962167,-0.6070416835289356,-1.0545634746739327,-0.6744907594765952,17.0,25.0,0.6071428571428571,0.8928571428571429,,
3012,condAN1,black_point_0.1,cond1: black point 0.1 diameter,27,28,0.32831943341254355,1.1740966234245929,6.480228900909424,3.8093523311614996,0.0395,0.0015,1.102269989578553,0.0012,-0.5345255263192691,-0.07021194707337491,-0.014495302913993308,0.10727833614677577,0.16159674445793415,0.3372453797382976,-0.0625494654153292,0.13489815189531895,18.0,15.0,0.6428571428571429,0.5357142857142857,,
3000,condAN1,black_point_0.1,cond1: black point 0.1 diameter,27,28,0.32983062037039823,0.5280327807772286,4.79628324508667,1.848786247968675,0.0007,0.0,0.5272925267461301,0.0,-0.5410721515355703,-1.1191676203917746,-0.6962562043954906,-1.3803187654712552,-0.7470921953924786,-0.6744907594765952,-1.1834684240097604,-0.6744907594765952,19.0,28.0,0.6785714285714286,1.0,,
3004,condAN1,black_point_0.1,cond1: black point 0.1 diameter,27,28,0.35505336537572474,1.2986863983568244,7.574504852294922,4.14708701133728,0.0604,0.0019,1.3259349505628844,0.0016,-0.6503398087357215,0.13207324925815828,0.42853239011544564,0.3635375541616021,0.6510709414392132,0.6070416835289356,0.3734855296009715,0.40469445568595713,20.0,12.0,0.7142857142857143,0.42857142857142855,,
3008,condAN1,black_point_0.1,cond1: black point 0.1 diameter,27,28,0.35846212585210774,0.7517890710120393,5.590125560760498,2.991977379322055,0.01,0.0005,0.7835563407173103,0.0004,-0.6651069275061877,-0.755874684633732,-0.37486183463269684,-0.5129122402970316,-0.5292878876448281,-0.3372453797382976,-0.6838819427119159,-0.40469445568595713,21.0,21.0,0.75,0.75,,
3010,condAN1,black_point_0.1,cond1: black point 0.1 diameter,27,28,0.36279435017222594,0.6736305125415204,4.805888652801514,2.459736289978029,0.0034,0.0,0.6698856984606967,0.0,-0.6838745914470026,-0.882773696641726,-0.6923673666529391,-0.9167549409627483,-0.6838586866915478,-0.6744907594765952,-0.9054829378420133,-0.6744907594765952,22.0,24.0,0.7857142857142857,0.8571428571428571,,
3005,condAN1,black_point_0.1,cond1: black point 0.1 diameter,27,28,0.3795934863999674,0.5807417496511417,4.593901634216309,2.1031199622154246,0.0013,0.0,0.6149395018131083,0.0,-0.7566502650782371,-1.0335888148847279,-0.778192262719678,-1.1873407784497372,-0.7330403045700495,-0.6744907594765952,-1.0126005859347527,-0.6744907594765952,23.0,26.0,0.8214285714285714,0.9285714285714286,,
3019,condAN1,black_point_0.1,cond1: black point 0.1 diameter,27,28,0.3963326387823796,1.0453931591447296,5.678588390350342,3.615015966892243,0.0278,0.0004,1.0924425922991894,0.0004,-0.8291660822090157,-0.2791761702976466,-0.33904684366773663,-0.040176123411728944,-0.11241512657943264,-0.40469445568595713,-0.08170798315933439,-0.40469445568595713,24.0,16.0,0.8571428571428571,0.5714285714285714,,
2997,condAN1,black_point_0.1,cond1: black point 0.1 diameter,27,28,0.46146232498611894,0.5478594864500899,4.085092544555664,2.260678389072423,0.0017,0.0,0.590426272610739,0.0,-1.111314921447597,-1.0869767840906113,-0.9841883068613382,-1.0677919087955867,-0.7236723773550968,-0.6744907594765952,-1.0603891430965393,-0.6744907594765952,25.0,27.0,0.8928571428571429,0.9642857142857143,,
3009,condAN1,black_point_0.1,cond1: black point 0.1 diameter,27,28,0.49549426609447883,0.759995690387385,7.087284088134766,2.7894383955001847,0.0076,0.0003,0.7931907905019941,0.0001,-1.2587449681811589,-0.7425503358863091,0.23127657829885875,-0.6665905110173982,-0.5854954509345445,-0.4721435316336167,-0.6650995762412745,-0.6070416835289356,26.0,20.0,0.9285714285714286,0.7142857142857143,,
